date,high,low,open,volumefrom,volumeto,close,replyCount,retweetCount,likeCount,quoteCount,followersCount,listedCount,isReplied,isMentioned,charCount,mentionsCount,topics,probs,day,year,month,quarter,day_of_week,day_of_year,is_month_end,is_month_start,is_quarter_end,is_quarter_start,is_year_end,is_year_start,target,lag1,lag7,lag14,lag30,lag60,lag90,lag365
2017-11-25,8761.98,8153.7,8203.45,84670.41,718483679.6,8754.69,377,319,6663,44,134459649,119975,0.0,1.0,117.0,1.0,1.0,0.35392952,25,2017,11,4,5,329,False,False,False,False,False,False,1,1.0,1.0,,,,,
2017-11-26,9474.62,8746.56,8754.62,85891.98,782499976.71,9318.42,6134,78154,263325,7594,403378950,359925,1.0,1.0,394.0,1.0,17.0,1.224317,26,2017,11,4,6,330,False,False,False,False,False,False,1,1.0,1.0,,,,,
2017-11-27,9733.61,9316.84,9318.42,106902.79,1025175619.87,9733.2,185,1327,12281,75,268919304,239950,2.0,2.0,118.0,2.0,3.0,0.49237025,27,2017,11,4,0,331,False,False,False,False,False,False,1,1.0,0.0,,,,,
2017-11-28,9969.58,9638.2,9732.63,87754.89,865328615.73,9906.04,4872,37828,163778,2499,537838588,479900,3.0,2.0,330.0,4.0,30.0,1.6420891,28,2017,11,4,1,332,False,False,False,False,False,False,0,1.0,1.0,,,,,
2017-11-29,11417.84,8938.7,9906.04,233325.32,2418792360.6,9837.86,,,,,,,,,,,,,29,2017,11,4,2,333,False,False,False,False,False,False,1,0.0,0.0,1.0,,,,
2017-11-30,10689.06,9023.77,9848.05,187008.87,1836210107.31,9946.76,2046,9087,53061,1238,806757894,719850,3.0,3.0,524.0,3.0,30.0,2.5179825,30,2017,11,4,3,334,True,False,False,False,False,False,1,1.0,1.0,0.0,,,,
2017-12-01,10942.8,9420.93,9947.08,131918.85,1353669597.43,10861.47,,,,,,,,,,,,,1,2017,12,4,4,335,False,True,False,False,False,False,1,1.0,1.0,1.0,,,,
2017-12-02,11175.23,10715.55,10861.47,86825.51,950474241.58,10912.73,4629,21992,117511,3515,672298445,599875,3.0,3.0,556.0,3.0,7.0,2.730102,2,2017,12,4,5,336,False,False,False,False,False,False,1,1.0,1.0,1.0,,,,
2017-12-03,11851.09,10578.43,10912.72,122125.7,1380012064.12,11246.21,4527,7458,69040,1136,1344596450,1199750,7.0,6.0,859.0,6.0,57.0,5.2682276,3,2017,12,4,6,337,False,False,False,False,False,False,1,1.0,1.0,1.0,,,,
2017-12-04,11624.63,10917.81,11244.2,93173.9,1057859226.18,11623.91,,,,,,,,,,,,,4,2017,12,4,0,338,False,False,False,False,False,False,1,1.0,1.0,0.0,,,,
2017-12-05,11901.87,11486.13,11624.37,89687.21,1048839303.8,11667.13,,,,,,,,,,,,,5,2017,12,4,1,339,False,False,False,False,False,False,1,1.0,0.0,1.0,,,,
2017-12-06,13843.2,11661.76,11667.13,191576.66,2437037791.81,13749.57,,,,,,,,,,,,,6,2017,12,4,2,340,False,False,False,False,False,False,1,1.0,1.0,0.0,,,,
2017-12-07,16879.26,13401.61,13750.09,297108.66,4510225316.19,16850.31,1743,18430,96276,1573,134459648,119975,1.0,1.0,18.0,1.0,1.0,0.6687275,7,2017,12,4,3,341,False,False,False,False,False,False,0,1.0,1.0,1.0,,,,
2017-12-08,17294.85,13906.1,16867.98,286762.02,4546014731.58,16047.61,1004,3836,26452,262,268919302,239950,1.0,1.0,175.0,1.0,3.0,0.9841401,8,2017,12,4,4,342,False,False,False,False,False,False,0,0.0,1.0,1.0,,,,
2017-12-09,16313.18,13151.47,16048.18,181979.81,2699876215.33,14843.42,,,,,,,,,,,,,9,2017,12,4,5,343,False,False,False,False,False,False,1,0.0,1.0,1.0,,,,
2017-12-10,15783.2,13031.0,14839.98,201620.09,2904037859.64,15059.6,,,,,,,,,,,,,10,2017,12,4,6,344,False,False,False,False,False,False,1,1.0,1.0,1.0,,,,
2017-12-11,17399.18,15024.56,15060.45,159724.56,2634267594.52,16732.47,3293,12486,120535,1170,537838664,479900,1.0,0.0,286.0,0.0,69.0,1.6576784,11,2017,12,4,0,345,False,False,False,False,False,False,1,1.0,1.0,1.0,,,,
2017-12-12,17560.65,16254.53,16733.29,132846.57,2246138895.89,17083.9,,,,,,,,,,,,,12,2017,12,4,1,346,False,False,False,False,False,False,0,1.0,1.0,0.0,,,,
2017-12-13,17267.96,15669.86,17083.9,155407.35,2576055941.69,16286.82,3548,20251,131855,1551,268919296,239950,1.0,1.0,288.0,1.0,31.0,0.69925874,13,2017,12,4,2,347,False,False,False,False,False,False,1,0.0,1.0,1.0,,,,
2017-12-14,16941.08,16023.64,16286.82,107918.03,1773813863.46,16467.91,1269,1408,20103,246,268919340,239950,1.0,1.0,189.0,1.0,21.0,0.99631965,14,2017,12,4,3,348,False,False,False,False,False,False,1,1.0,0.0,1.0,,,,
2017-12-15,17987.03,16442.2,16467.91,153651.15,2682351213.91,17604.85,1269,5424,49753,939,537838752,479900,4.0,4.0,532.0,5.0,16.0,1.8540056,15,2017,12,4,4,349,False,False,False,False,False,False,1,1.0,0.0,1.0,1.0,,,
2017-12-16,19587.7,17318.54,17594.08,112173.97,2078806368.79,19345.49,,,,,,,,,,,,,16,2017,12,4,5,350,False,False,False,False,False,False,0,1.0,1.0,1.0,0.0,,,
2017-12-17,19870.62,18750.91,19346.6,117408.38,2264650369.71,19065.71,92,122,1374,34,403378941,359925,2.0,2.0,329.0,5.0,4.0,1.5289743,17,2017,12,4,6,351,False,False,False,False,False,False,0,0.0,1.0,1.0,1.0,,,
2017-12-18,19221.1,18114.42,19065.71,139251.39,2597510049.89,18972.32,,,,,,,,,,,,,18,2017,12,4,0,352,False,False,False,False,False,False,0,0.0,1.0,1.0,1.0,,,
2017-12-19,19021.97,16812.8,18971.19,174543.37,3136709262.09,17523.7,1015,8837,73838,422,134459650,119975,0.0,0.0,31.0,0.0,10.0,0.31167397,19,2017,12,4,1,353,False,False,False,False,False,False,0,0.0,0.0,1.0,1.0,,,
2017-12-20,17813.6,15642.69,17521.73,227676.13,3791752510.78,16461.97,3976,27978,159670,2971,941217529,839825,6.0,5.0,645.0,7.0,11.0,3.4568577,20,2017,12,4,2,354,False,False,False,False,False,False,0,0.0,1.0,1.0,0.0,,,
2017-12-21,17301.83,14952.98,16461.09,163735.02,2619295475.76,15632.12,9142,39995,246204,6251,1479056601,1319725,9.0,9.0,1365.0,12.0,29.0,5.4069777,21,2017,12,4,3,355,False,False,False,False,False,False,0,0.0,1.0,0.0,1.0,,,
2017-12-22,15823.72,10875.71,15632.12,466980.6,6245731508.4,13664.97,,,,,,,,,,,,,22,2017,12,4,4,356,False,False,False,False,False,False,1,0.0,1.0,0.0,0.0,,,
2017-12-23,15493.23,13356.07,13664.97,170169.39,2491903154.48,14396.46,12327,116919,543351,11566,1210137066,1079775,2.0,3.0,685.0,4.0,64.0,4.0969057,23,2017,12,4,5,357,False,False,False,False,False,False,0,1.0,0.0,1.0,1.0,,,
2017-12-24,14413.72,12166.45,14396.63,182417.29,2428437693.16,13789.95,10183,38871,263948,3611,672298260,599875,1.0,1.0,392.0,1.0,58.0,2.337008,24,2017,12,4,6,358,False,False,False,False,False,False,1,0.0,0.0,1.0,1.0,,,
2017-12-25,14467.43,13010.71,13789.95,107475.98,1487888106.52,13833.49,94,105,2598,12,268919372,239950,2.0,2.0,117.0,2.0,2.0,0.91598123,25,2017,12,4,0,359,False,False,False,False,False,False,1,1.0,0.0,1.0,1.0,,,
2017-12-26,16094.67,13748.49,13830.19,143135.26,2198577125.17,15756.56,14614,13490,166286,2009,1479056018,1319725,10.0,8.0,1454.0,9.0,33.0,5.5661306,26,2017,12,4,1,360,False,False,False,False,False,False,0,1.0,0.0,0.0,1.0,,,
2017-12-27,16514.59,14534.66,15757.02,138705.28,2162831128.76,15416.64,109,59,2177,6,134459670,119975,1.0,1.0,35.0,2.0,1.0,0.76462215,27,2017,12,4,2,361,False,False,False,False,False,False,0,0.0,0.0,1.0,1.0,,,
2017-12-28,15505.51,13466.07,15416.34,170366.63,2425912717.56,14398.7,,,,,,,,,,,,,28,2017,12,4,3,362,False,False,False,False,False,False,0,0.0,0.0,1.0,0.0,,,
2017-12-29,15109.81,13951.08,14398.45,118874.63,1733583750.2,14392.57,,,,,,,,,,,,,29,2017,12,4,4,363,False,False,False,False,False,False,0,0.0,1.0,1.0,1.0,,,
2017-12-30,14461.46,11962.09,14392.14,182065.44,2387311023.42,12531.52,,,,,,,,,,,,,30,2017,12,4,5,364,False,False,False,False,False,False,1,0.0,0.0,0.0,1.0,,,
2017-12-31,14241.82,12359.43,12532.38,111270.55,1492142483.58,13850.4,,,,,,,,,,,,,31,2017,12,4,6,365,True,False,True,False,True,False,0,1.0,1.0,0.0,1.0,,,
2018-01-01,13921.53,12877.67,13850.49,78425.21,1057521524.42,13444.88,,,,,,,,,,,,,1,2018,1,1,0,1,False,True,False,True,False,True,1,0.0,1.0,0.0,1.0,,,
2018-01-02,15306.13,12934.16,13444.88,137732.17,1956783037.35,14754.13,,,,,,,,,,,,,2,2018,1,1,1,2,False,False,False,False,False,False,1,1.0,0.0,0.0,1.0,,,
2018-01-03,15435.01,14579.71,14754.09,106543.39,1604206990.04,15156.62,3651,8858,65890,1222,268919304,239950,0.0,0.0,316.0,0.0,22.0,0.7019882,3,2018,1,1,2,3,False,False,False,False,False,False,1,1.0,0.0,0.0,1.0,,,
2018-01-04,15408.66,14244.67,15156.49,110968.82,1656714736.62,15180.08,,,,,,,,,,,,,4,2018,1,1,3,4,False,False,False,False,False,False,1,1.0,0.0,0.0,1.0,,,
2018-01-05,17126.95,14832.36,15180.08,141960.42,2283988962.92,16954.78,1954,13755,79869,1428,134459667,119975,0.0,0.0,50.0,0.0,2.0,0.4615243,5,2018,1,1,4,5,False,False,False,False,False,False,1,1.0,0.0,1.0,1.0,,,
2018-01-06,17252.85,16286.57,16954.76,83927.99,1412703790.73,17172.3,,,,,,,,,,,,,6,2018,1,1,5,6,False,False,False,False,False,False,0,1.0,1.0,0.0,0.0,,,
2018-01-07,17184.81,15791.13,17174.5,79006.37,1309532650.11,16228.16,221,248,9136,42,403378950,359925,2.0,3.0,219.0,4.0,14.0,1.368191,7,2018,1,1,6,7,False,False,False,False,False,False,0,0.0,0.0,1.0,0.0,,,
2018-01-08,16302.92,13902.31,16228.26,142453.96,2166366561.33,14976.17,711,2808,18737,201,134459696,119975,0.0,1.0,118.0,1.0,2.0,0.45078272,8,2018,1,1,0,8,False,False,False,False,False,False,0,0.0,1.0,1.0,1.0,,,
2018-01-09,15390.28,14221.55,14976.17,99730.65,1486802326.34,14468.5,202,211,8756,56,268919298,239950,1.0,2.0,105.0,5.0,2.0,1.311669,9,2018,1,1,1,9,False,False,False,False,False,False,1,0.0,1.0,0.0,1.0,,,
2018-01-10,14919.49,13450.54,14468.09,142303.9,2025083791.13,14919.49,,,,,,,,,,,,,10,2018,1,1,2,10,False,False,False,False,False,False,0,1.0,1.0,0.0,1.0,,,
2018-01-11,14979.96,12825.95,14920.36,173452.27,2373494121.74,13308.06,,,,,,,,,,,,,11,2018,1,1,3,11,False,False,False,False,False,False,1,0.0,1.0,0.0,0.0,,,
2018-01-12,14129.08,12851.91,13308.06,102068.02,1402292716.89,13841.19,51,39,476,6,134459700,119975,1.0,1.0,256.0,2.0,8.0,0.33721438,12,2018,1,1,4,12,False,False,False,False,False,False,1,1.0,1.0,0.0,1.0,,,
2018-01-13,14595.04,13830.28,13841.19,71300.93,1021352776.21,14243.12,,,,,,,,,,,,,13,2018,1,1,5,13,False,False,False,False,False,False,0,1.0,0.0,1.0,1.0,,,
2018-01-14,14415.67,13031.91,14244.12,81536.0,1112590573.36,13638.63,,,,,,,,,,,,,14,2018,1,1,6,14,False,False,False,False,False,False,0,0.0,0.0,0.0,1.0,1.0,,
2018-01-15,14355.82,13416.71,13638.63,84089.84,1170462750.59,13631.98,132,90,1092,24,268919348,239950,2.0,2.0,236.0,2.0,5.0,1.0501525,15,2018,1,1,0,15,False,False,False,False,False,False,0,0.0,0.0,1.0,0.0,0.0,,
2018-01-16,13648.84,10032.69,13634.6,325702.79,3842651741.45,11282.49,,,,,,,,,,,,,16,2018,1,1,1,16,False,False,False,False,False,False,0,0.0,1.0,1.0,0.0,1.0,,
2018-01-17,11736.3,9205.38,11282.49,348631.94,3666978316.26,11162.7,,,,,,,,,,,,,17,2018,1,1,2,17,False,False,False,False,False,False,1,0.0,0.0,1.0,0.0,1.0,,
2018-01-18,12018.43,10642.33,11162.7,204918.02,2357251805.09,11175.52,107,40,1038,17,134459648,119975,1.0,1.0,52.0,1.0,1.0,0.5656464,18,2018,1,1,3,18,False,False,False,False,False,False,1,1.0,1.0,1.0,0.0,1.0,,
2018-01-19,11780.49,10867.18,11175.52,110885.87,1264875700.45,11521.76,,,,,,,,,,,,,19,2018,1,1,4,19,False,False,False,False,False,False,1,1.0,1.0,1.0,0.0,0.0,,
2018-01-20,13031.04,11502.11,11521.82,119084.84,1492721765.44,12783.94,,,,,,,,,,,,,20,2018,1,1,5,20,False,False,False,False,False,False,0,1.0,0.0,0.0,0.0,1.0,,
2018-01-21,12787.35,11101.73,12783.54,130427.64,1552755289.93,11549.93,,,,,,,,,,,,,21,2018,1,1,6,21,False,False,False,False,False,False,0,0.0,0.0,0.0,1.0,0.0,,
2018-01-22,11913.74,10067.76,11549.98,165723.08,1811992345.95,10814.52,,,,,,,,,,,,,22,2018,1,1,0,22,False,False,False,False,False,False,1,0.0,0.0,0.0,0.0,1.0,,
2018-01-23,11388.52,9980.5,10814.52,158868.59,1710180828.64,10858.23,,,,,,,,,,,,,23,2018,1,1,1,23,False,False,False,False,False,False,1,1.0,0.0,1.0,1.0,1.0,,
2018-01-24,11531.6,10506.55,10853.78,115804.82,1286435482.05,11429.02,2006,12074,74854,1060,134459650,119975,0.0,0.0,143.0,0.0,2.0,0.49510604,24,2018,1,1,2,24,False,False,False,False,False,False,0,1.0,1.0,0.0,1.0,1.0,,
