date,high,low,open,volumefrom,volumeto,close,replyCount,retweetCount,likeCount,quoteCount,followersCount,listedCount,isReplied,isMentioned,charCount,mentionsCount,T_0,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_11,T_12,T_13,T_14,T_15,T_16,T_17,T_18,T_19,T_20,T_21,T_22,T_23,T_24,day,year,month,quarter,day_of_week,day_of_year,is_month_end,is_month_start,is_quarter_end,is_quarter_start,is_year_end,is_year_start,target,lag1,lag7,lag14,lag30,lag60,lag90,lag365
2017-12-07,16879.26,13401.61,13750.09,297108.66,4510225316.19,16850.31,1743,18430,96276,1573,134459648,119975,1.0,1.0,18.0,1.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,7,2017,12,4,3,341,False,False,False,False,False,False,0,1.0,1.0,1.0,,,,
2017-12-08,17294.85,13906.1,16867.98,286762.02,4546014731.58,16047.61,1004,3836,26452,262,268919302,239950,1.0,1.0,175.0,1.0,0.016678078,0.016678078,0.016678078,0.016678078,0.016678078,0.016678078,0.016678078,0.26823875,0.016678078,0.016678078,0.016678078,0.016678078,0.016678078,0.6601787,0.20647965,0.016678078,0.016678078,0.016678078,0.016678078,0.26555523,0.016678078,0.26598614,0.016678078,0.016678078,0.016678078,8,2017,12,4,4,342,False,False,False,False,False,False,0,0.0,1.0,1.0,,,,
2017-12-09,16313.18,13151.47,16048.18,181979.81,2699876215.33,14843.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2017,12,4,5,343,False,False,False,False,False,False,1,0.0,1.0,1.0,,,,
2017-12-10,15783.2,13031.0,14839.98,201620.09,2904037859.64,15059.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2017,12,4,6,344,False,False,False,False,False,False,1,1.0,1.0,1.0,,,,
2017-12-11,17399.18,15024.56,15060.45,159724.56,2634267594.52,16732.47,3293,12486,120535,1170,537838664,479900,1.0,0.0,286.0,0.0,0.034674123,0.034674123,0.034674123,0.77247757,0.034674123,0.034674123,0.034674123,0.86789066,0.034674123,0.034674123,0.7634884,0.034674123,0.034674123,0.034674123,0.034674123,0.034674123,0.23529491,0.034674123,0.034674123,0.034674123,0.034674123,0.6673659,0.034674123,0.034674123,0.034674123,11,2017,12,4,0,345,False,False,False,False,False,False,1,1.0,1.0,1.0,,,,
2017-12-12,17560.65,16254.53,16733.29,132846.57,2246138895.89,17083.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2017,12,4,1,346,False,False,False,False,False,False,0,1.0,1.0,0.0,,,,
2017-12-13,17267.96,15669.86,17083.9,155407.35,2576055941.69,16286.82,3548,20251,131855,1551,268919296,239950,1.0,1.0,288.0,1.0,0.0077820485,0.37682304,0.0077820485,0.43135738,0.0077820485,0.0077820485,0.0077820485,0.0077820485,0.0077820485,0.89658624,0.0077820485,0.13181034,0.0077820485,0.0077820485,0.0077820485,0.0077820485,0.0077820485,0.0077820485,0.0077820485,0.0077820485,0.0077820485,0.0077820485,0.0077820485,0.0077820485,0.0077820485,13,2017,12,4,2,347,False,False,False,False,False,False,1,0.0,1.0,1.0,,,,
2017-12-14,16941.08,16023.64,16286.82,107918.03,1773813863.46,16467.91,1269,1408,20103,246,268919340,239950,1.0,1.0,189.0,1.0,0.016467117,0.016467117,0.09693771,0.17253241,0.016467117,0.10866194,0.016467117,0.016467117,0.016467117,0.016467117,0.016467117,0.3477158,0.016467117,0.016467117,0.016467117,0.016467117,0.016467117,0.10198021,0.016467117,0.016467117,0.016467117,0.35077506,0.016467117,0.016467117,0.5249888,14,2017,12,4,3,348,False,False,False,False,False,False,1,1.0,0.0,1.0,,,,
2017-12-15,17987.03,16442.2,16467.91,153651.15,2682351213.91,17604.85,1269,5424,49753,939,537838752,479900,4.0,4.0,532.0,5.0,0.026319625,0.026319625,0.31203073,0.026319625,0.026319625,0.026319625,0.026319625,0.026319625,0.5609611,0.5729789,0.026319625,0.026319625,0.17565024,0.026319625,0.026319625,0.026319625,0.16003521,0.25209147,0.026319625,0.026319625,0.026319625,0.026319625,0.026319625,1.4924992,0.026319625,15,2017,12,4,4,349,False,False,False,False,False,False,1,1.0,0.0,1.0,1.0,,,
2017-12-16,19587.7,17318.54,17594.08,112173.97,2078806368.79,19345.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,2017,12,4,5,350,False,False,False,False,False,False,0,1.0,1.0,1.0,0.0,,,
2017-12-17,19870.62,18750.91,19346.6,117408.38,2264650369.71,19065.71,92,122,1374,34,403378941,359925,2.0,2.0,329.0,5.0,0.03247484,0.03247484,0.03247484,0.23316896,0.03247484,0.03247484,0.03247484,0.22119741,0.03247484,0.2560354,0.24309391,0.03247484,0.03247484,0.03247484,1.0089469,0.03247484,0.03247484,0.42053545,0.03247484,0.03247484,0.03247484,0.03247484,0.03247484,0.03247484,0.03247484,17,2017,12,4,6,351,False,False,False,False,False,False,0,0.0,1.0,1.0,1.0,,,
2017-12-18,19221.1,18114.42,19065.71,139251.39,2597510049.89,18972.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2017,12,4,0,352,False,False,False,False,False,False,0,0.0,1.0,1.0,1.0,,,
2017-12-19,19021.97,16812.8,18971.19,174543.37,3136709262.09,17523.7,1015,8837,73838,422,134459650,119975,0.0,0.0,31.0,0.0,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.51999855,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,0.02000006,19,2017,12,4,1,353,False,False,False,False,False,False,0,0.0,0.0,1.0,1.0,,,
2017-12-20,17813.6,15642.69,17521.73,227676.13,3791752510.78,16461.97,3976,27978,159670,2971,941217529,839825,6.0,5.0,645.0,7.0,0.08774345,0.7543933,0.23304671,0.08774345,0.08774345,0.19439204,0.08774345,0.8260709,0.23772179,0.08774345,0.08774345,0.08774345,0.08774345,0.6815759,1.2210069,0.2483444,0.887624,0.08774345,0.33253998,0.08774345,0.08774345,0.15487587,0.08774345,0.08774345,0.08774345,20,2017,12,4,2,354,False,False,False,False,False,False,0,0.0,1.0,1.0,0.0,,,
2017-12-21,17301.83,14952.98,16461.09,163735.02,2619295475.76,15632.12,9142,39995,246204,6251,1479056601,1319725,9.0,9.0,1365.0,12.0,0.44081935,0.8940178,1.4158386,0.33411852,0.6783533,0.20992789,0.85172665,0.07744902,0.1541742,0.4170176,0.07744902,0.18745108,0.07744902,0.24369496,0.57893527,0.3282406,0.5111338,0.07744902,0.3582585,0.47551912,0.9554916,0.87753856,0.27275753,0.22607234,0.2791167,21,2017,12,4,3,355,False,False,False,False,False,False,0,0.0,1.0,0.0,1.0,,,
2017-12-22,15823.72,10875.71,15632.12,466980.6,6245731508.4,13664.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2017,12,4,4,356,False,False,False,False,False,False,1,0.0,1.0,0.0,0.0,,,
2017-12-23,15493.23,13356.07,13664.97,170169.39,2491903154.48,14396.46,12327,116919,543351,11566,1210137066,1079775,2.0,3.0,684.0,4.0,0.10052883,0.10052883,0.10052883,0.89181143,0.76718473,0.10052883,0.10052883,0.43374768,0.10052883,0.32196766,0.41489366,0.10052883,0.19205332,0.10052883,0.69093686,0.5931582,0.10052883,1.014827,0.9338409,0.10052883,0.33822203,0.10052883,0.6004912,0.60051936,0.10052883,23,2017,12,4,5,357,False,False,False,False,False,False,0,1.0,0.0,1.0,1.0,,,
2017-12-24,14413.72,12166.45,14396.63,182417.29,2428437693.16,13789.95,10183,38871,263948,3611,672298260,599875,1.0,1.0,392.0,1.0,0.06368147,0.26373667,0.06368147,0.4653347,0.06368147,0.06368147,0.263606,0.19901824,0.71606743,0.06368147,0.55583876,0.06368147,0.06368147,0.06368147,0.3874495,0.2637136,0.06368147,0.06368147,0.06368147,0.6665032,0.2635098,0.06368147,0.06368147,0.06368147,0.06368147,24,2017,12,4,6,358,False,False,False,False,False,False,1,0.0,0.0,1.0,1.0,,,
2017-12-25,14467.43,13010.71,13789.95,107475.98,1487888106.52,13833.49,94,105,2598,12,268919372,239950,2.0,2.0,117.0,2.0,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,1.4396536,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,0.023347758,25,2017,12,4,0,359,False,False,False,False,False,False,1,1.0,0.0,1.0,1.0,,,
2017-12-26,16094.67,13748.49,13830.19,143135.26,2198577125.17,15756.56,14614,13490,166286,2009,1479056018,1319725,10.0,8.0,1450.0,9.0,0.81987375,0.8950139,0.35668403,0.6286858,0.12870398,0.12870398,0.12870398,0.47498706,0.45862424,0.12870398,0.56021005,0.3143037,0.29277024,0.12870398,0.55219173,0.12870398,0.87433875,0.92251956,0.3097677,0.3828825,0.46865907,0.3749818,0.31009176,0.12870398,1.1024864,26,2017,12,4,1,360,False,False,False,False,False,False,0,1.0,0.0,0.0,1.0,,,
2017-12-27,16514.59,14534.66,15757.02,138705.28,2162831128.76,15416.64,109,59,2177,6,134459670,119975,1.0,1.0,35.0,2.0,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.5199944,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,0.020000232,27,2017,12,4,2,361,False,False,False,False,False,False,0,0.0,0.0,1.0,1.0,,,
2017-12-28,15505.51,13466.07,15416.34,170366.63,2425912717.56,14398.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2017,12,4,3,362,False,False,False,False,False,False,0,0.0,0.0,1.0,0.0,,,
2017-12-29,15109.81,13951.08,14398.45,118874.63,1733583750.2,14392.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,2017,12,4,4,363,False,False,False,False,False,False,0,0.0,1.0,1.0,1.0,,,
2017-12-30,14461.46,11962.09,14392.14,182065.44,2387311023.42,12531.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,2017,12,4,5,364,False,False,False,False,False,False,1,0.0,0.0,0.0,1.0,,,
2017-12-31,14241.82,12359.43,12532.38,111270.55,1492142483.58,13850.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,2017,12,4,6,365,True,False,True,False,True,False,0,1.0,1.0,0.0,1.0,,,
2018-01-01,13921.53,12877.67,13850.49,78425.21,1057521524.42,13444.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2018,1,1,0,1,False,True,False,True,False,True,1,0.0,1.0,0.0,1.0,,,
2018-01-02,15306.13,12934.16,13444.88,137732.17,1956783037.35,14754.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2018,1,1,1,2,False,False,False,False,False,False,1,1.0,0.0,0.0,1.0,,,
2018-01-03,15435.01,14579.71,14754.09,106543.39,1604206990.04,15156.62,3651,8858,65890,1222,268919304,239950,0.0,0.0,315.0,0.0,0.00649736,0.00649736,0.00649736,0.00649736,0.00649736,0.2709771,0.00649736,0.39979503,0.13896492,0.00649736,0.00649736,0.08210107,0.00649736,0.00649736,0.12074304,0.00649736,0.00649736,0.00649736,0.00649736,0.00649736,0.00649736,0.36052245,0.00649736,0.00649736,0.5099439,3,2018,1,1,2,3,False,False,False,False,False,False,1,1.0,0.0,0.0,1.0,,,
2018-01-04,15408.66,14244.67,15156.49,110968.82,1656714736.62,15180.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2018,1,1,3,4,False,False,False,False,False,False,1,1.0,0.0,0.0,1.0,,,
