,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_max_delta_step,param_learning_rate,param_lambda,param_grow_policy,param_gamma,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
298,0.16881327629089354,0.015027668283926581,0.010268259048461913,0.0015066602295929995,23,13,0.5714285714285714,0.23,31,lossguide,2.857142857142857,1,"{'n_estimators': 23, 'max_depth': 13, 'max_delta_step': 0.5714285714285714, 'learning_rate': 0.23, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 2.857142857142857, 'alpha': 1}",0.6,0.6047430830039526,0.5957767722473605,0.523145843703335,0.5884387351778657,0.5824208868265027,0.030117870354856323,18,0.7007785476895746,0.7095881791355667,0.7127737095750293,0.7325968292193458,0.7383976618926684,0.718826985502437,0.014285403532150373
299,0.19110369682312012,0.01831662332272762,0.010543107986450195,0.0014802198695348832,34,14,0.42857142857142855,0.42000000000000004,1,depthwise,2.5,1,"{'n_estimators': 34, 'max_depth': 14, 'max_delta_step': 0.42857142857142855, 'learning_rate': 0.42000000000000004, 'lambda': 1, 'grow_policy': 'depthwise', 'gamma': 2.5, 'alpha': 1}",0.5777777777777777,0.6042490118577075,0.5603318250377074,0.4457441513190642,0.532114624505929,0.5440434780996372,0.05446664063335958,1722,0.8898591199418865,0.9229726075868239,0.9041200611571578,0.8784366847280755,0.8891126742525475,0.8969002295332981,0.01538194132316423
300,0.6923060417175293,0.03984147431204372,0.012595462799072265,0.0018953083252650296,29,11,0.3571428571428571,0.31,31,lossguide,0.35714285714285715,1,"{'n_estimators': 29, 'max_depth': 11, 'max_delta_step': 0.3571428571428571, 'learning_rate': 0.31, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 0.35714285714285715, 'alpha': 1}",0.5555555555555556,0.5696640316205533,0.5603318250377074,0.5211548033847686,0.49011857707509876,0.5393649585347366,0.029585789123015408,3291,0.9729860700749378,0.9738485238940889,0.974276441082589,0.9696227172386113,0.9710896024782585,0.9723646709536972,0.0017542480574332714
301,0.23903388977050782,0.05823444854072412,0.01709752082824707,0.003277574216630541,18,5,1.0,0.09999999999999999,31,lossguide,1.4285714285714286,31,"{'n_estimators': 18, 'max_depth': 5, 'max_delta_step': 1.0, 'learning_rate': 0.09999999999999999, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 1.4285714285714286, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.48456943753111004,0.6259881422924901,0.5417622332497085,0.05000735201914183,2417,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.569869556492073,0.5623883925874555,0.556363536499503,0.008318729355326028
302,0.24179320335388182,0.04361925848852019,0.013444805145263672,0.005318527844189121,17,13,0.21428571428571427,0.12,31,depthwise,1.7857142857142858,31,"{'n_estimators': 17, 'max_depth': 13, 'max_delta_step': 0.21428571428571427, 'learning_rate': 0.12, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 1.7857142857142858, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6259881422924901,0.5434048415125258,0.04820412001006434,1927,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5623883925874555,0.551577664534823,0.005616348908561973
303,0.27010469436645507,0.03378724475202771,0.014936161041259766,0.0030274656644298033,30,2,0.42857142857142855,0.37,1,lossguide,4.285714285714286,1,"{'n_estimators': 30, 'max_depth': 2, 'max_delta_step': 0.42857142857142855, 'learning_rate': 0.37, 'lambda': 1, 'grow_policy': 'lossguide', 'gamma': 4.285714285714286, 'alpha': 1}",0.5777777777777777,0.5489130434782609,0.5354449472096531,0.5089596814335491,0.46689723320158105,0.5275985366201643,0.037592248574085406,4124,0.6262914632631631,0.6166580988877466,0.6411420473342095,0.6201244230383303,0.6394787586476867,0.6287389582342271,0.009953165757358048
304,0.19739699363708496,0.027776163801097657,0.011832237243652344,0.0034638267115716685,12,4,0.21428571428571427,0.26,1,lossguide,2.857142857142857,31,"{'n_estimators': 12, 'max_depth': 4, 'max_delta_step': 0.21428571428571427, 'learning_rate': 0.26, 'lambda': 1, 'grow_policy': 'lossguide', 'gamma': 2.857142857142857, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6220355731225297,0.5426143276785337,0.0468569135879118,2230,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5836913630663132,0.5558382586305946,0.01400979198569604
305,0.19017062187194825,0.0032447818487132633,0.009977579116821289,0.0015902868450053454,26,2,0.0,0.4,1,lossguide,1.4285714285714286,31,"{'n_estimators': 26, 'max_depth': 2, 'max_delta_step': 0.0, 'learning_rate': 0.4, 'lambda': 1, 'grow_policy': 'lossguide', 'gamma': 1.4285714285714286, 'alpha': 31}",0.5,0.5449604743083004,0.497737556561086,0.49278247884519666,0.5948616600790514,0.5260684339587269,0.03919074844810348,4191,0.5,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5511104559985889,0.5393430417354492,0.019748711648216052
306,0.16872482299804686,0.019028742055483293,0.010314607620239257,0.001538416100265322,12,6,0.9285714285714285,0.17,31,lossguide,4.642857142857143,1,"{'n_estimators': 12, 'max_depth': 6, 'max_delta_step': 0.9285714285714285, 'learning_rate': 0.17, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 4.642857142857143, 'alpha': 1}",0.5777777777777777,0.5820158102766798,0.555052790346908,0.5067197610751617,0.5775691699604744,0.5598270618874004,0.028186983603217974,435,0.5468954070014717,0.6270929859933505,0.6066070294967052,0.6190507726269315,0.625703474056336,0.605069933834959,0.029976190208694086
307,0.13787856101989746,0.016557991302599107,0.011745119094848632,0.0017692763763672884,15,14,0.9285714285714285,0.13,31,lossguide,2.857142857142857,31,"{'n_estimators': 15, 'max_depth': 14, 'max_delta_step': 0.9285714285714285, 'learning_rate': 0.13, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 2.857142857142857, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6264822134387352,0.5435036557417747,0.048373516032878136,1821,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5497512317592107,0.5490502323691742,0.00156469321015965
