,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_max_delta_step,param_learning_rate,param_lambda,param_grow_policy,param_gamma,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.6580101490020752,0.4962757146132195,0.01668524742126465,0.008734430873639478,30,7,1.0,0.29000000000000004,31,lossguide,1.7857142857142858,1,"{'n_estimators': 30, 'max_depth': 7, 'max_delta_step': 1.0, 'learning_rate': 0.29000000000000004, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 1.7857142857142858, 'alpha': 1}",0.5888888888888889,0.5380434782608696,0.5399698340874812,0.5331010452961673,0.5093873517786561,0.5418781196624127,0.02592699552160131,936,0.6894447225494662,0.6780490165970118,0.6721743873107838,0.6789564519365844,0.6792599295861435,0.679576901595998,0.005567602171806654
1,0.40425715446472166,0.09094395599581158,0.015183401107788087,0.007474328403094109,23,10,1.0,0.35000000000000003,31,depthwise,0.0,1,"{'n_estimators': 23, 'max_depth': 10, 'max_delta_step': 1.0, 'learning_rate': 0.35000000000000003, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 0.0, 'alpha': 1}",0.5111111111111111,0.5780632411067194,0.5211161387631976,0.46241911398705826,0.45553359683794464,0.5056486403612062,0.044482054881744844,4779,0.9189243357785665,0.9175048068577838,0.9154015003174092,0.9268432671081677,0.9295064022482173,0.921636062462029,0.005519922611511212
2,0.2958968162536621,0.12186547693220941,0.020609617233276367,0.014203380785815331,21,11,0.9285714285714285,0.4,1,lossguide,3.928571428571429,1,"{'n_estimators': 21, 'max_depth': 11, 'max_delta_step': 0.9285714285714285, 'learning_rate': 0.4, 'lambda': 1, 'grow_policy': 'lossguide', 'gamma': 3.928571428571429, 'alpha': 1}",0.5333333333333333,0.5118577075098814,0.5120663650075414,0.5684420109507218,0.4940711462450593,0.5239541126093075,0.025486373293685836,4136,0.7236221568989074,0.6879573191085949,0.728029469881888,0.7089143086494081,0.7104157655513377,0.7117878040180272,0.014013387130517228
3,0.13550710678100586,0.008119057513875892,0.012145805358886718,0.002031046717168844,35,11,0.8571428571428571,0.38,31,depthwise,1.7857142857142858,31,"{'n_estimators': 35, 'max_depth': 11, 'max_delta_step': 0.8571428571428571, 'learning_rate': 0.38, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 1.7857142857142858, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6111660079051384,0.5404404146350554,0.04323383142710663,1123,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.547439342352944,0.5485878544879208,0.001629473791369178
4,0.14429879188537598,0.013995320204791308,0.013569259643554687,0.006176816678800332,33,13,0.14285714285714285,0.43,31,lossguide,2.5,31,"{'n_estimators': 33, 'max_depth': 13, 'max_delta_step': 0.14285714285714285, 'learning_rate': 0.43, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 2.5, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6111660079051384,0.5404404146350554,0.04323383142710663,1123,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5428602669153946,0.547672039400411,0.002848456321870126
5,0.2508677959442139,0.0634197116635601,0.016459941864013672,0.008832069842540402,22,9,0.3571428571428571,0.34,31,depthwise,2.142857142857143,1,"{'n_estimators': 22, 'max_depth': 9, 'max_delta_step': 0.3571428571428571, 'learning_rate': 0.34, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 2.142857142857143, 'alpha': 1}",0.5555555555555556,0.5247035573122529,0.524132730015083,0.5373320059731209,0.5874505928853755,0.5458348883482775,0.023732568640720444,538,0.6699302186407314,0.6457696313407127,0.6536953586724248,0.6586855308047361,0.6618781700129761,0.6579917818943162,0.008074054604277634
6,0.24858970642089845,0.042980478206789734,0.010083532333374024,0.0008348510067499602,39,12,0.5714285714285714,0.12,31,depthwise,2.5,31,"{'n_estimators': 39, 'max_depth': 12, 'max_delta_step': 0.5714285714285714, 'learning_rate': 0.12, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 2.5, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6111660079051384,0.5404404146350554,0.04323383142710663,1123,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5428602669153946,0.547672039400411,0.002848456321870126
7,0.1689976215362549,0.01543288479405969,0.011632871627807618,0.0033307368305205394,25,2,0.42857142857142855,0.06999999999999999,31,lossguide,2.142857142857143,1,"{'n_estimators': 25, 'max_depth': 2, 'max_delta_step': 0.42857142857142855, 'learning_rate': 0.06999999999999999, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 2.142857142857143, 'alpha': 1}",0.5666666666666667,0.5449604743083004,0.526395173453997,0.48656047784967643,0.6180830039525692,0.548533159246242,0.043610715935706645,329,0.5851264834184585,0.5830860360781381,0.5820860491939593,0.5799217338952438,0.5899377535708331,0.5840316112313266,0.0033956347910187694
8,0.11695966720581055,0.013116573539914696,0.011661338806152343,0.0011046116576465576,12,7,0.7142857142857142,0.02,1,depthwise,2.857142857142857,31,"{'n_estimators': 12, 'max_depth': 7, 'max_delta_step': 0.7142857142857142, 'learning_rate': 0.02, 'lambda': 1, 'grow_policy': 'depthwise', 'gamma': 2.857142857142857, 'alpha': 31}",0.5555555555555556,0.5163043478260869,0.48717948717948717,0.49278247884519666,0.5948616600790514,0.5293367058970755,0.04065521531173429,3715,0.5498951774080026,0.5600623556273617,0.5575896569298034,0.5459401966686734,0.5511104559985889,0.5529195685264859,0.0051761104039426764
9,0.14952378273010253,0.016660041107517252,0.010285425186157226,0.0012305240284445353,26,7,0.3571428571428571,0.19,31,depthwise,4.642857142857143,31,"{'n_estimators': 26, 'max_depth': 7, 'max_delta_step': 0.3571428571428571, 'learning_rate': 0.19, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 4.642857142857143, 'alpha': 31}",0.5,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6111660079051384,0.5293293035239444,0.04502331973439698,3727,0.5,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5428602669153946,0.5376930039188105,0.019028104316333404
