,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_max_delta_step,param_learning_rate,param_lambda,param_grow_policy,param_gamma,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
10,0.23875255584716798,0.05268772875565305,0.010404109954833984,0.001573559045787562,20,11,0.14285714285714285,0.19,1,lossguide,3.2142857142857144,1,"{'n_estimators': 20, 'max_depth': 11, 'max_delta_step': 0.14285714285714285, 'learning_rate': 0.19, 'lambda': 1, 'grow_policy': 'lossguide', 'gamma': 3.2142857142857144, 'alpha': 1}",0.5555555555555556,0.5479249011857708,0.5346907993966817,0.5415629666500746,0.49209486166007904,0.5343658168896324,0.02223327248068953,728,0.6535396914414329,0.6521879548155368,0.6468867072592831,0.666564318683524,0.660160714674064,0.6558678773747681,0.006818592305971738
11,0.3397836685180664,0.03277916549607411,0.010579252243041992,0.0002759917077264291,23,8,0.9285714285714285,0.29000000000000004,31,lossguide,0.7142857142857143,1,"{'n_estimators': 23, 'max_depth': 8, 'max_delta_step': 0.9285714285714285, 'learning_rate': 0.29000000000000004, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 0.7142857142857143, 'alpha': 1}",0.5777777777777777,0.6146245059288538,0.5663650075414781,0.5027376804380289,0.5118577075098814,0.554672535839204,0.041940776215013235,139,0.926904590740232,0.9357575140533828,0.9345265237878098,0.9311940598033314,0.9276149662066648,0.9311995309182841,0.0035535823348179186
12,0.23746862411499023,0.018703160562539515,0.009480714797973633,0.001168373850770282,21,10,0.42857142857142855,0.44,31,lossguide,1.4285714285714286,1,"{'n_estimators': 21, 'max_depth': 10, 'max_delta_step': 0.42857142857142855, 'learning_rate': 0.44, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 1.4285714285714286, 'alpha': 1}",0.5333333333333333,0.5271739130434783,0.5701357466063348,0.4683922349427576,0.5370553359683794,0.5272181127788567,0.032974462945328256,834,0.8652709767508384,0.8730472140253428,0.8493513228364762,0.876012442303833,0.8749429125819461,0.8677249736996873,0.009926934740642716
13,0.11817312240600586,0.005443937171497979,0.008525323867797852,0.0005655665489626075,24,10,0.5,0.09999999999999999,31,depthwise,2.5,31,"{'n_estimators': 24, 'max_depth': 10, 'max_delta_step': 0.5, 'learning_rate': 0.09999999999999999, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 2.5, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6259881422924901,0.5434048415125258,0.04820412001006434,384,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5560501789343198,0.550310021804196,0.003250040888256609
14,0.149459171295166,0.011915143013058157,0.009265470504760741,0.000963133055767172,30,8,0.7857142857142857,0.35000000000000003,1,lossguide,3.928571428571429,1,"{'n_estimators': 30, 'max_depth': 8, 'max_delta_step': 0.7857142857142857, 'learning_rate': 0.35000000000000003, 'lambda': 1, 'grow_policy': 'lossguide', 'gamma': 3.928571428571429, 'alpha': 1}",0.5777777777777777,0.5039525691699605,0.5113122171945701,0.45993031358885017,0.424901185770751,0.4955748127003819,0.05165360012911676,990,0.8221008178796855,0.8116053903569092,0.7994510161565767,0.8104093919325708,0.8147884805443663,0.8116710193740216,0.007340623278995167
15,0.1289839744567871,0.008649821085597236,0.008708953857421875,0.0004750098262543565,28,5,0.9285714285714285,0.2,31,lossguide,3.928571428571429,1,"{'n_estimators': 28, 'max_depth': 5, 'max_delta_step': 0.9285714285714285, 'learning_rate': 0.2, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 3.928571428571429, 'alpha': 1}",0.5333333333333333,0.6062252964426877,0.5859728506787331,0.5027376804380289,0.5138339920948617,0.548420630597529,0.04065056620374533,255,0.6061803927177468,0.6494657377859079,0.6371721967400732,0.6499799317680113,0.6624442113962192,0.6410484940815916,0.019179194268430167
16,0.10675110816955566,0.008238694125482303,0.00836324691772461,0.0004772614260524557,14,8,0.0,0.28,31,lossguide,4.642857142857143,31,"{'n_estimators': 14, 'max_depth': 8, 'max_delta_step': 0.0, 'learning_rate': 0.28, 'lambda': 31, 'grow_policy': 'lossguide', 'gamma': 4.642857142857143, 'alpha': 31}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,971,0.5,0.5,0.5,0.5,0.5,0.5,0.0
17,0.13521990776062012,0.018197184713268724,0.010075521469116212,0.000840375532193941,17,13,0.2857142857142857,0.06999999999999999,31,depthwise,0.0,31,"{'n_estimators': 17, 'max_depth': 13, 'max_delta_step': 0.2857142857142857, 'learning_rate': 0.06999999999999999, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 0.0, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6136363636363636,0.5409344857813004,0.044045743891201354,492,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.560858920329119,0.5641046397270436,0.5549046586948299,0.006273537378955304
18,0.14912614822387696,0.005726891368629676,0.010449934005737304,0.0019715833753836593,16,8,0.07142857142857142,0.2,1,depthwise,2.142857142857143,1,"{'n_estimators': 16, 'max_depth': 8, 'max_delta_step': 0.07142857142857142, 'learning_rate': 0.2, 'lambda': 1, 'grow_policy': 'depthwise', 'gamma': 2.142857142857143, 'alpha': 1}",0.5666666666666667,0.5345849802371542,0.497737556561086,0.49875559980089595,0.5158102766798419,0.522711015989129,0.025761390090674085,867,0.5776948062946249,0.5891346654560506,0.5827543967883551,0.5804294601645595,0.5908124898813307,0.5841651637169842,0.005033769208086174
19,0.16347169876098633,0.0347701311936633,0.010788488388061523,0.001151101565378652,31,8,1.0,0.48000000000000004,31,depthwise,5.0,1,"{'n_estimators': 31, 'max_depth': 8, 'max_delta_step': 1.0, 'learning_rate': 0.48000000000000004, 'lambda': 31, 'grow_policy': 'depthwise', 'gamma': 5.0, 'alpha': 1}",0.5444444444444445,0.6156126482213439,0.5603318250377074,0.5841214534594326,0.5894268774703557,0.5787874497266567,0.024567443323150983,7,0.5407923609359886,0.6252970905158026,0.593680427027172,0.6205578968492875,0.6055470847358514,0.5971749720128204,0.030327933233073368
20,0.2803343296051025,0.08359840206062455,0.018848991394042967,0.012663883281443808,39,7,0.8571428571428571,0.06999999999999999,1,depthwise,2.5,31,"{'n_estimators': 39, 'max_depth': 7, 'max_delta_step': 0.8571428571428571, 'learning_rate': 0.06999999999999999, 'lambda': 1, 'grow_policy': 'depthwise', 'gamma': 2.5, 'alpha': 31}",0.5555555555555556,0.5449604743083004,0.497737556561086,0.49278247884519666,0.6259881422924901,0.5434048415125258,0.04820412001006434,384,0.5498951774080026,0.5500973054891646,0.5495672505208193,0.5459401966686734,0.5623883925874555,0.551577664534823,0.005616348908561973
