,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
55,1515456000,1300.3,1133.7,1136.11,812642.22,986697724.1,1289.24,direct,
56,1515542400,1385.22,1210.85,1289.24,1105070.29,1445484601.88,1248.99,direct,
57,1515628800,1333.92,1100.85,1248.96,1056985.76,1270849838.43,1139.32,direct,
58,1515715200,1287.06,1087.61,1139.32,581477.09,704750432.94,1261.03,direct,
59,1515801600,1422.86,1261.01,1261.06,551036.77,744906594.35,1385.02,direct,
60,1515888000,1389.32,1267.48,1385.02,458696.01,610496132.15,1359.48,direct,
61,1515974400,1381.35,1271.07,1359.38,407230.97,537797572.32,1278.69,direct,
62,1516060800,1282.27,864.23,1278.7,1818512.61,1931700742.0,1050.26,direct,
63,1516147200,1115.66,764.75,1050.26,2196783.74,2034010888.99,1024.69,direct,
64,1516233600,1093.9,949.56,1024.9,1080431.79,1117430433.28,1012.97,direct,
65,1516320000,1083.62,982.62,1012.97,501080.74,517599347.75,1037.36,direct,
66,1516406400,1164.62,1036.82,1037.36,489743.73,545646401.81,1150.5,direct,
67,1516492800,1150.57,1008.06,1150.5,508184.08,543760385.27,1049.09,direct,
68,1516579200,1084.28,917.0,1049.09,681092.91,676845706.25,999.64,direct,
69,1516665600,1020.66,908.31,999.75,678043.45,660805261.99,984.47,direct,
70,1516752000,1062.6,956.97,984.48,514521.75,521553676.55,1061.78,direct,
71,1516838400,1102.42,1022.2,1061.61,535509.16,568607934.27,1046.37,direct,
72,1516924800,1075.59,987.13,1046.37,492824.14,509049582.65,1048.58,direct,
73,1517011200,1121.9,1033.86,1048.58,365750.18,395059716.61,1109.08,direct,
74,1517097600,1240.47,1101.62,1109.08,557486.08,662174309.95,1231.58,direct,
75,1517184000,1240.32,1151.53,1231.57,436893.27,515965244.78,1169.96,direct,
76,1517270400,1173.18,1034.72,1169.94,757521.14,835962532.22,1063.75,direct,
77,1517356800,1122.98,1020.77,1063.77,510759.59,550605628.52,1111.31,direct,
78,1517443200,1155.58,954.75,1111.29,970470.71,1033001644.78,1026.19,direct,
79,1517529600,1027.66,746.67,1026.19,1783823.6,1606436956.8,917.47,direct,
80,1517616000,997.6,845.18,917.47,591555.32,552868551.93,970.87,direct,
81,1517702400,971.05,781.36,970.87,766994.32,666593264.45,827.59,direct,
82,1517788800,857.82,629.08,826.34,1747376.34,1272929187.15,695.08,direct,
83,1517875200,801.73,564.19,695.05,2312291.59,1556542861.3,785.01,direct,
84,1517961600,858.28,718.28,785.16,1124767.44,895500139.13,751.81,direct,
85,1518048000,844.86,750.02,751.86,632557.69,510550202.1,813.55,direct,
86,1518134400,880.22,781.5,813.55,561205.79,469210004.25,877.88,direct,
87,1518220800,909.32,816.09,877.66,520877.94,451412405.8,850.75,direct,
88,1518307200,853.74,780.13,850.99,376738.95,308313754.16,811.24,direct,
89,1518393600,874.85,811.09,811.17,352040.84,300521830.64,865.27,direct,
90,1518480000,867.6,823.77,865.28,304130.99,256092877.9,840.98,direct,
91,1518566400,922.37,840.87,840.99,529918.98,470132510.11,920.11,direct,
92,1518652800,947.53,905.65,920.11,489358.4,454133646.5,927.95,direct,
93,1518739200,945.36,909.41,927.95,304038.76,282763877.2,938.02,direct,
94,1518825600,974.83,934.95,937.92,287733.8,276682460.01,974.77,direct,
95,1518912000,981.48,905.96,974.78,399661.16,375068724.24,913.9,direct,
96,1518998400,955.62,911.6,913.9,233504.11,218921662.11,939.79,direct,
97,1519084800,958.86,877.28,939.79,372375.38,344672330.06,885.52,direct,
98,1519171200,906.56,818.12,885.52,517644.69,445950029.99,840.1,direct,
99,1519257600,871.32,788.92,840.19,441363.7,362800754.34,804.63,direct,
100,1519344000,882.42,787.97,804.61,403614.67,340134173.18,854.7,direct,
101,1519430400,874.72,810.64,854.7,305237.13,255866976.42,833.49,direct,
102,1519516800,849.52,818.55,833.49,204987.54,171228507.8,840.28,direct,
103,1519603200,880.12,834.06,840.28,287223.68,247282448.05,867.62,direct,
104,1519689600,904.05,865.91,868.77,458760.68,399626963.81,871.1,multiply,BTC
105,1519776000,867.06,828.51,871.1,467629.5,399035131.55,853.31,multiply,BTC
106,1519862400,905.94,868.12,853.31,422715.28,368630733.52,872.05,multiply,BTC
107,1519948800,881.35,853.3,871.73,465100.32,398617272.5,857.06,multiply,BTC
108,1520035200,890.74,855.89,857.06,447097.83,382666170.06,855.89,multiply,BTC
109,1520121600,891.25,858.34,855.89,384392.02,333345981.96,867.2,multiply,BTC
110,1520208000,865.15,838.49,867.17,424359.91,358832100.49,845.58,multiply,BTC
111,1520294400,819.97,789.7,845.21,482448.32,393264235.1,815.14,multiply,BTC
112,1520380800,825.32,726.38,815.65,463880.38,354361800.99,751.13,direct,
113,1520467200,772.51,688.84,751.13,397145.73,289838564.8,698.83,direct,
114,1520553600,730.46,642.06,698.83,599327.0,409323870.51,726.92,direct,
115,1520640000,747.82,678.65,726.76,283137.95,203802606.28,682.3,direct,
