,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
42,2017-12-27,16514.59,14534.66,15757.02,138705.28,2162831128.76,15416.64,direct,
43,2017-12-28,15505.51,13466.07,15416.34,170366.63,2425912717.56,14398.7,direct,
44,2017-12-29,15109.81,13951.08,14398.45,118874.63,1733583750.2,14392.57,direct,
45,2017-12-30,14461.46,11962.09,14392.14,182065.44,2387311023.42,12531.52,direct,
46,2017-12-31,14241.82,12359.43,12532.38,111270.55,1492142483.58,13850.4,direct,
47,2018-01-01,13921.53,12877.67,13850.49,78425.21,1057521524.42,13444.88,direct,
48,2018-01-02,15306.13,12934.16,13444.88,137732.17,1956783037.35,14754.13,direct,
49,2018-01-03,15435.01,14579.71,14754.09,106543.39,1604206990.04,15156.62,direct,
50,2018-01-04,15408.66,14244.67,15156.49,110968.82,1656714736.62,15180.08,direct,
51,2018-01-05,17126.95,14832.36,15180.08,141960.42,2283988962.92,16954.78,direct,
52,2018-01-06,17252.85,16286.57,16954.76,83927.99,1412703790.73,17172.3,direct,
53,2018-01-07,17184.81,15791.13,17174.5,79006.37,1309532650.11,16228.16,direct,
54,2018-01-08,16302.92,13902.31,16228.26,142453.96,2166366561.33,14976.17,direct,
55,2018-01-09,15390.28,14221.55,14976.17,99730.65,1486802326.34,14468.5,direct,
56,2018-01-10,14919.49,13450.54,14468.09,142303.9,2025083791.13,14919.49,direct,
57,2018-01-11,14979.96,12825.95,14920.36,173452.27,2373494121.74,13308.06,direct,
58,2018-01-12,14129.08,12851.91,13308.06,102068.02,1402292716.89,13841.19,direct,
59,2018-01-13,14595.04,13830.28,13841.19,71300.93,1021352776.21,14243.12,direct,
60,2018-01-14,14415.67,13031.91,14244.12,81536.0,1112590573.36,13638.63,direct,
61,2018-01-15,14355.82,13416.71,13638.63,84089.84,1170462750.59,13631.98,direct,
62,2018-01-16,13648.84,10032.69,13634.6,325702.79,3842651741.45,11282.49,direct,
63,2018-01-17,11736.3,9205.38,11282.49,348631.94,3666978316.26,11162.7,direct,
64,2018-01-18,12018.43,10642.33,11162.7,204918.02,2357251805.09,11175.52,direct,
65,2018-01-19,11780.49,10867.18,11175.52,110885.87,1264875700.45,11521.76,direct,
66,2018-01-20,13031.04,11502.11,11521.82,119084.84,1492721765.44,12783.94,direct,
67,2018-01-21,12787.35,11101.73,12783.54,130427.64,1552755289.93,11549.93,direct,
68,2018-01-22,11913.74,10067.76,11549.98,165723.08,1811992345.95,10814.52,direct,
69,2018-01-23,11388.52,9980.5,10814.52,158868.59,1710180828.64,10858.23,direct,
70,2018-01-24,11531.6,10506.55,10853.78,115804.82,1286435482.05,11429.02,direct,
71,2018-01-25,11741.92,10930.34,11428.11,93317.76,1061064251.44,11175.87,direct,
72,2018-01-26,11656.54,10346.86,11175.87,142350.84,1560135332.27,11104.2,direct,
73,2018-01-27,11638.69,10879.2,11104.34,90873.81,1031091633.68,11459.71,direct,
74,2018-01-28,12064.19,11407.94,11460.39,87917.22,1038153169.8,11767.74,direct,
75,2018-01-29,11860.29,11089.52,11767.74,80713.7,920836244.04,11233.95,direct,
76,2018-01-30,11263.7,9871.21,11234.32,164072.93,1720894077.2,10107.26,direct,
77,2018-01-31,10377.96,9698.13,10107.4,122260.49,1230902973.11,10226.86,direct,
78,2018-02-01,10280.84,8726.95,10226.86,208918.8,1964308989.29,9114.72,direct,
79,2018-02-02,9147.93,7786.2,9114.73,322596.22,2768759876.15,8870.82,direct,
80,2018-02-03,9504.37,8194.68,8872.87,139226.07,1253484523.4,9251.27,direct,
81,2018-02-04,9400.99,7889.83,9251.27,164609.06,1413207410.82,8218.05,direct,
82,2018-02-05,8391.29,6627.31,8218.05,341828.54,2534149181.03,6937.08,direct,
83,2018-02-06,7932.38,5968.36,6936.43,495883.24,3397596513.74,7701.25,direct,
84,2018-02-07,8572.68,7208.86,7701.25,271450.37,2159765331.36,7592.72,direct,
85,2018-02-08,8643.94,7590.48,7593.78,193040.33,1594673973.51,8260.69,direct,
86,2018-02-09,8743.2,7775.36,8259.26,162279.68,1348072086.15,8696.83,direct,
87,2018-02-10,9081.49,8176.25,8696.83,155616.78,1348923336.33,8569.29,direct,
88,2018-02-11,8573.35,7862.31,8569.32,123293.84,1013771945.88,8084.61,direct,
89,2018-02-12,8997.34,8084.41,8084.61,124923.98,1085921871.17,8911.27,direct,
90,2018-02-13,8955.15,8379.35,8911.17,98632.88,853320352.71,8544.69,direct,
91,2018-02-14,9508.22,8542.98,8544.69,133702.54,1220863360.18,9485.64,direct,
92,2018-02-15,10223.58,9363.38,9485.64,168776.78,1666668487.88,10033.75,direct,
93,2018-02-16,10303.14,9720.38,10033.75,105556.67,1061827697.26,10188.73,direct,
94,2018-02-17,11119.45,10074.07,10188.73,123660.48,1327921168.02,11097.21,direct,
95,2018-02-18,11288.34,10161.01,11097.21,154431.22,1659704217.34,10417.23,direct,
96,2018-02-19,11265.96,10336.32,10418.12,108244.29,1186535653.61,11182.28,direct,
97,2018-02-20,11802.23,11130.95,11182.28,142449.23,1640343867.77,11256.43,direct,
