,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
32,1513468800,0.007804,0.005306,0.005634,294876797.77,1868866.75,0.005841,direct,
33,1513555200,0.007,0.005582,0.005841,250214075.07,1532996.49,0.00627,direct,
34,1513641600,0.0067,0.005222,0.00627,279359825.24,1669542.24,0.005409,direct,
35,1513728000,0.006998,0.004529,0.005409,313403182.66,1742617.2,0.006376,direct,
36,1513814400,0.008765,0.006112,0.006392,258221797.89,1901278.71,0.0075,direct,
37,1513900800,0.007619,0.004282,0.007496,302071397.05,1766062.51,0.006071,direct,
38,1513987200,0.00787,0.005682,0.006071,234739259.94,1636090.12,0.006951,direct,
39,1514073600,0.008583,0.005503,0.006949,269458812.32,1905748.61,0.008356,direct,
40,1514160000,0.01102,0.008124,0.008356,221995032.22,2146863.56,0.008643,direct,
41,1514246400,0.009686,0.008,0.008648,190338141.3,1681858.73,0.009379,direct,
42,1514332800,0.0096,0.00809,0.009332,160431021.74,1470283.99,0.008843,direct,
43,1514419200,0.008869,0.007221,0.008861,164537894.47,1301542.77,0.008247,direct,
44,1514505600,0.00945,0.007577,0.008244,198036224.69,1678535.57,0.009223,direct,
45,1514592000,0.0094,0.00699,0.009228,175320814.03,1412718.68,0.007672,direct,
46,1514678400,0.0091,0.0075,0.007672,187461647.34,1585997.42,0.008927,direct,
47,1514764800,0.00899,0.007961,0.008927,185202110.07,1600559.36,0.008691,direct,
48,1514851200,0.009878,0.008316,0.008678,230549310.38,2095180.01,0.008961,direct,
49,1514937600,0.009345,0.00834,0.009,224392207.79,2039228.21,0.009218,direct,
50,1515024000,0.0103,0.008561,0.009205,173647875.43,1624513.81,0.009613,direct,
51,1515110400,0.01395,0.009434,0.009613,232265946.57,2550998.12,0.01264,direct,
52,1515196800,0.0175,0.01201,0.01255,231437597.35,3405126.76,0.01464,direct,
53,1515283200,0.019,0.014,0.01463,218912204.66,3612069.81,0.017,direct,
54,1515369600,0.02121,0.01303,0.017,176137121.14,2862804.45,0.01472,direct,
55,1515456000,0.01607,0.012,0.01477,153290452.31,2279690.78,0.0131,direct,
56,1515542400,0.01363,0.01052,0.0131,146680443.3,1863439.45,0.01283,direct,
57,1515628800,0.015,0.0101,0.01287,187987845.74,2281152.18,0.01119,direct,
58,1515715200,0.01323,0.0107,0.01119,124921000.61,1517622.93,0.01257,direct,
59,1515801600,0.0134,0.01164,0.01269,146231843.04,1883955.87,0.01226,direct,
60,1515888000,0.01256,0.01056,0.01226,155549772.41,1813745.83,0.01124,direct,
61,1515974400,0.01145,0.009678,0.01124,145520078.88,1596091.19,0.00973,direct,
62,1516060800,0.009757,0.005549,0.009701,250440255.58,2008369.6,0.006551,direct,
63,1516147200,0.0085,0.0054,0.006562,207463984.21,1380995.03,0.007626,direct,
64,1516233600,0.009311,0.007051,0.007623,184337845.82,1477962.98,0.00753,direct,
65,1516320000,0.0087,0.007,0.007538,126909433.83,1005759.85,0.007787,direct,
66,1516406400,0.008654,0.0076,0.007779,150921252.54,1262380.64,0.008355,direct,
67,1516492800,0.008385,0.006751,0.008359,159444222.55,1217331.18,0.006982,direct,
68,1516579200,0.0077,0.0061,0.006982,171802906.03,1187214.63,0.00665,direct,
69,1516665600,0.007492,0.0059,0.00665,175301919.95,1161249.41,0.00662,direct,
70,1516752000,0.007251,0.006365,0.006609,172841575.23,1193971.41,0.007251,direct,
71,1516838400,0.008176,0.007038,0.007249,103243572.93,769119.33,0.007483,direct,
72,1516924800,0.008295,0.006506,0.007485,159901864.13,1164489.82,0.007151,direct,
73,1517011200,0.0075,0.006657,0.007151,138360683.53,1014172.34,0.007383,direct,
74,1517097600,0.008137,0.00726,0.007383,124106322.75,935953.58,0.00761,direct,
75,1517184000,0.00765,0.006868,0.007627,130791151.51,940553.65,0.006945,direct,
76,1517270400,0.007017,0.005507,0.00698,163279832.73,1070109.49,0.006006,direct,
77,1517356800,0.006298,0.005613,0.006006,174032047.83,1046877.68,0.005942,direct,
78,1517443200,0.006085,0.004806,0.005957,204605512.16,1127999.84,0.00505,direct,
79,1517529600,0.005062,0.003258,0.00505,217572437.37,972172.94,0.004489,direct,
80,1517616000,0.005601,0.00419,0.004493,171876250.14,844470.72,0.00514,direct,
81,1517702400,0.005331,0.004148,0.005142,184596266.85,887847.56,0.00433,direct,
82,1517788800,0.00453,0.00338,0.00433,214009823.51,866042.48,0.003506,direct,
83,1517875200,0.004518,0.002902,0.003506,273519429.49,990611.3,0.004439,direct,
84,1517961600,0.004781,0.003908,0.004432,197614307.52,881633.93,0.004285,direct,
85,1518048000,0.004854,0.004255,0.004285,180988202.08,835466.69,0.00457,direct,
86,1518134400,0.00503,0.0044,0.00459,158372746.79,742245.28,0.004993,direct,
87,1518220800,0.005541,0.004605,0.004993,154571316.53,800545.09,0.005,direct,
88,1518307200,0.005298,0.004543,0.005,144480524.03,714749.59,0.004925,direct,
89,1518393600,0.00557,0.004925,0.004925,128201501.38,680211.39,0.005536,direct,
90,1518480000,0.005808,0.00512,0.005531,120426625.38,662463.09,0.005672,direct,
91,1518566400,0.006992,0.005645,0.005665,161098624.94,1044501.85,0.006689,direct,
92,1518652800,0.007998,0.006556,0.00669,171020507.22,1282105.19,0.007271,direct,
93,1518739200,0.007608,0.006448,0.007273,128025885.5,898046.38,0.007054,direct,
94,1518825600,0.00734,0.006772,0.007064,115046908.6,819819.89,0.007101,direct,
95,1518912000,0.007125,0.006342,0.007101,87648324.08,592848.91,0.00651,direct,
96,1518998400,0.007012,0.00639,0.006566,95830663.69,649959.16,0.006683,direct,
97,1519084800,0.008482,0.006401,0.006683,201508666.72,1489571.57,0.007408,direct,
98,1519171200,0.007787,0.006563,0.007408,126621134.7,899402.98,0.006847,direct,
99,1519257600,0.00716,0.006276,0.006853,109344547.87,726475.1,0.006288,direct,
100,1519344000,0.00712,0.005887,0.006288,95658247.9,626030.34,0.006801,direct,
101,1519430400,0.006999,0.006204,0.006801,74126728.28,490170.91,0.006399,direct,
102,1519516800,0.0065,0.006029,0.006399,64784628.74,409835.35,0.006188,direct,
103,1519603200,0.006594,0.006069,0.006188,65025500.98,414624.91,0.006372,direct,
104,1519689600,0.006596,0.00626,0.006372,35197588.77,229255.2,0.006327,direct,
105,1519776000,0.006449,0.006056,0.00632,40534521.47,254932.21,0.00615,direct,
106,1519862400,0.006359,0.005975,0.00615,75611828.69,468109.7,0.006246,direct,
107,1519948800,0.006373,0.005422,0.006246,71650624.48,425239.0,0.005548,direct,
108,1520035200,0.005808,0.005185,0.005548,69269905.11,382164.31,0.005285,direct,
109,1520121600,0.005511,0.005234,0.005285,54624641.73,294699.55,0.005464,direct,
110,1520208000,0.005538,0.005254,0.005464,35998832.94,195609.03,0.005281,direct,
